Name,Latitude,Longitude,,
EAI.MABELV3_CT,34.64631431,-92.42935181,,
ARKANSAS.HUB,34.73664707,-92.35519409,,
EAI.AECCHYDRO9,35.09923751,-92.78915405,,
EAI.ANO1,35.27432559,-93.1791687,,
EAI.ANO2,35.27432559,-93.1791687,,
DUK,35.51166033,-81.41281128,,
EAI.AECCBAILEY,35.52239096,-91.09588623,,
CPLW,35.54518899,-82.96188354,,
CPLE,35.60773831,-77.82028198,,
EAI.PLUM_PPEA,35.63229785,-89.94369507,,
EAI.PLUM1A_TEA,35.63229785,-89.94369507,,
EAI.INDEPEND1,35.69477924,-91.30599976,,
EAI.INDEPEND2,35.69477924,-91.30599976,,
SPA,35.72064968,-93.55682373,,
TVA.CALRIDGE,35.72956868,-88.777771,,
TVA,35.73848669,-85.30059814,,
EAI.CWL_A,35.82850275,-90.72921753,,
EAI.CWL_B,35.82850275,-90.72921753,,
EAI.CWL_C,35.82850275,-90.72921753,,
EAI.CWL_D,35.82850275,-90.72921753,,
EAI.CWL_E,35.82850275,-90.72921753,,
EAI.PLUM_1C,36.02200241,-94.29428101,,
SME.PLUMPOINT,36.0633096,-89.70611572,,
CSWS,36.1539816,-95.992775,,
EDE,37.03500872,-94.5552063,,
BREC.WILSON1,37.42863325,-86.87026978,,
SIPC.5MRN_PN14,37.5676574,-88.983078,,
BREC.GREEN1,37.62380376,-87.49717712,,
BREC.GREEN2,37.62380376,-87.49717712,,
BREC.HMP1,37.62380376,-87.49717712,,
BREC.HMP2,37.62380376,-87.49717712,,
AMMO.WVPA,37.8158595,-89.92172241,,
SIGE.10CULGN3,37.91625097,-87.26646423,,
SIGE.10ABBGN1,37.91841774,-87.73475647,,
SIGE.10ABBGN2,37.91841774,-87.73475647,,
SIGE.WAR4ALCOA,37.93899891,-87.39349365,,
SIGE.WAR5SIGE,37.93899891,-87.39349365,,
SIGE.WARR4SIGE,37.93899891,-87.39349365,,
EEI,37.96325568,-88.29849243,,
LGEE,37.97494803,-85.99685669,,
BREC.COLE1,37.98490669,-86.77139282,,
BREC.COLE2,37.98490669,-86.77139282,,
BREC.COLE3,37.98490669,-86.77139282,,
AMMO.RUSHIS1,38.17947822,-90.32546997,,
AMMO.RUSHIS2,38.17947822,-90.32546997,,
AMIL.BALDWI51,38.29381685,-89.83932495,,-89.877047
AMIL.BALDWI52,38.29381685,-89.83932495,,-89.877047
AMIL.BALDWI53,38.29381685,-89.83932495,,-89.877047
AMIL.PSGC1.TEA,38.33476239,-89.68276978,,
CIN.GIBSON.1,38.3692249,-87.75466919,,
CIN.GIBSON.2,38.3692249,-87.75466919,,
CIN.GIBSON.3,38.3692249,-87.75466919,,
CIN.GIBSON.4,38.3692249,-87.75466919,,
CIN.GIBSON.5,38.3692249,-87.75466919,,
AMMO.MERAMEC3,38.38860285,-90.30075073,,
AMMO.MERAMEC4,38.40819084,-90.33302307,,
MOWR,38.45014701,-94.65545654,,
HE.RATTS1,38.51722673,-87.42576599,,
IPL.16PETEE1,38.53785402,-87.32345581,,
IPL.16PETEE2,38.53785402,-87.32345581,,
IPL.16PETEE3,38.53785402,-87.32345581,,
IPL.16PETEE4,38.53785402,-87.32345581,,
AMMO.LABADIE1,38.56921333,-90.81710815,,
AMMO.LABADIE2,38.56921333,-90.81710815,,
AMMO.LABADIE3,38.56921333,-90.81710815,,
AMMO.LABADIE4,38.56921333,-90.81710815,,
AMMO.UE,38.6121491,-91.58889771,,
KCPL,38.65205631,-95.0894165,,
AMMO.CALLAWAY1,38.77528488,-91.77772522,,
AMIL.WOODRW85,38.83585673,-90.16376495,,
AMMO.UE.AZ,38.91197997,-91.42684937,,
AMMO.SIOUX1,38.94103923,-90.31654358,,
AMMO.SIOUX2,38.94103923,-90.31654358,,
AMIL.COFFEEN1,38.99954891,-89.42733765,,-89.085919
AMIL.COFFEEN2,38.99954891,-89.42733765,,-89.085919
AMIL.NEWTON21,39.01235483,-88.20510864,,-88.162539
AMIL.NEWTON22,39.01235483,-88.20510864,,-88.162539
OVEC,39.04521257,-83.03329468,,
HE.MEROM1,39.09212598,-87.46902466,,
HE.MEROM2,39.09212598,-87.46902466,,
HE.WORTH2,39.09425763,-87.05703735,,
CWLD.CWLD,39.1999081,-92.14645386,,
AECI,39.227573,-92.303009,Sturgeon,-92.280733
AMIL.PTWF,39.2339551,-88.50997925,,
INDIANA.HUB,39.24161338,-86.15203857,,
CIN.CC.SUGRCK,39.3890848,-87.51022339,,
CIN.CC.WR1,39.48962861,-87.45014191,,
CIN.WABRIVR.6,39.48962861,-87.45014191,,
AMIL.ALSEYCTG1,39.6264229,-90.443573,,-90.456235
IPL.16STOU7O7,39.66533659,-86.27975464,,
IPL.IPL,39.66533659,-86.27975464,,
AMIL.PPI,39.70465099,-90.17990112,,
CWLP.DALLMA84,39.73633989,-89.58938599,,
CIN.CAYUGA.1,39.77856906,-87.34542847,,
CIN.CAYUGA.2,39.77856906,-87.34542847,,
CIN.PSI,39.85029921,-86.13967896,,
AMIL.CLINTO51,40.0187806,-89.08401489,,-89.085919
ILLINOIS.HUB,40.03686767,-89.03045654,,
PJMC,40.07849164,-75.49667358,,
AMIL.HAVANA86,40.27701119,-90.11672974,,-89.989004
AMIL.DUCKCRK1,40.46115871,-89.97665405,,-90.031783
CIN.DEI.AZ,40.486427,-86.1336033,,
TVA.WHITEOAK,40.59768763,-89.09500122,,
AMIL.EDWARDS2,40.60123294,-89.67658997,,-89.622323
AMIL.EDWARDS3,40.60123294,-89.67658997,,-89.622323
ALTW.BRLGTN5,40.68147118,-91.1391449,,-91.230982
AMIL.STWF,40.74684081,-87.55142212,,
MEC.OTTUMWA1,41.03627328,-92.55020142,,
ALTW.OTTUMW1,41.07205267,-92.49956131,,-92.52875
MEC.WSEC3,41.19849651,-95.81382751,,
MEC.WSEC4,41.19849651,-95.81382751,,
OPPD,41.20159636,-96.06788635,,
AMIL.HENNEPN82,41.27326527,-89.36141968,,-89.342311
NIPS.SCHAHP14,41.31536237,-87.18887329,,
NIPS.SCHAHP15,41.31536237,-87.18887329,,
NIPS.SCHAHP17,41.31536237,-87.18887329,,
NIPS.SCHAHP18,41.31536237,-87.18887329,,
MEC.MECB,41.31742538,-92.81112671,,
MEC.LOUISA_1,41.32361366,-91.10824585,,
NIPS.NIPS,41.33598833,-86.743927,,
MPW.UNIT_9,41.43902018,-91.15768433,,
MPW.MPW,41.44519689,-91.06155396,,
NIPS.BAILLP8,41.6484935,-87.0728302,,
NPPD,41.65280335,-95.93948364,,
NIPS.CC.WHITN,41.65362415,-87.46284485,,
NIPS.MICHCP12,41.67537355,-86.927948,,
DECO.MONROE1,41.88571655,-83.35670471,,
DECO.MONROE2,41.88571655,-83.35670471,,
